date,CPIAUCSL,UNRATE,FEDFUNDS,INDPRO,M2SL,GDPC1,GDPPOT
2004-01-01,186.3,5.7,1.0,92.3268,6082.2,15248.68,15349.3686
2004-02-01,186.7,5.6,1.01,92.8995,6121.9,,
2004-03-01,187.1,5.8,1.0,92.5368,6158.0,,
2004-04-01,187.4,5.6,1.0,92.8957,6199.1,15366.85,15445.75949
2004-05-01,188.2,5.6,1.0,93.5845,6275.9,,
2004-06-01,188.9,5.6,1.03,92.8651,6278.1,,
2004-07-01,189.1,5.5,1.26,93.5502,6291.3,15512.619,15544.0956
2004-08-01,189.2,5.4,1.43,93.6301,6317.9,,
2004-09-01,189.8,5.4,1.61,93.7353,6352.3,,
2004-10-01,190.8,5.5,1.76,94.5695,6379.9,15670.88,15643.39944
2004-11-01,191.7,5.4,1.93,94.8015,6406.5,,
2004-12-01,191.7,5.4,2.16,95.5415,6424.7,,
2005-01-01,191.6,5.3,2.28,95.8785,6431.0,15844.727,15740.36208
2005-02-01,192.4,5.4,2.5,96.5709,6439.1,,
2005-03-01,193.1,5.2,2.63,96.4345,6448.4,,
2005-04-01,193.7,5.2,2.79,96.6347,6462.0,15922.782,15833.98635
2005-05-01,193.6,5.1,3.0,96.7251,6479.2,,
2005-06-01,193.7,5.0,3.04,97.1483,6511.8,,
2005-07-01,194.9,5.0,3.26,96.8397,6543.7,16047.587,15925.48397
2005-08-01,196.1,4.9,3.5,97.1584,6576.5,,
2005-09-01,198.8,5.0,3.62,95.2764,6610.3,,
2005-10-01,199.1,5.0,3.78,96.4411,6644.1,16136.734,16014.16822
2005-11-01,198.1,5.0,4.0,97.5016,6660.8,,
2005-12-01,198.1,4.9,4.16,97.9723,6688.0,,
2006-01-01,199.3,4.7,4.29,98.127,6730.3,16353.835,16099.61021
2006-02-01,199.4,4.8,4.49,98.1687,6754.9,,
2006-03-01,199.7,4.7,4.59,98.3913,6769.5,,
2006-04-01,200.7,4.7,4.79,98.6826,6807.0,16396.151,16182.6442
2006-05-01,201.3,4.6,4.94,98.7074,6813.9,,
2006-06-01,201.8,4.6,4.99,99.0398,6852.1,,
2006-07-01,202.9,4.7,5.24,98.9751,6893.9,16420.738,16261.61595
2006-08-01,203.8,4.7,5.25,99.4047,6925.3,,
2006-09-01,202.8,4.5,5.25,99.2246,6952.6,,
2006-10-01,201.9,4.4,5.25,99.1229,7002.0,16561.866,16336.38318
2006-11-01,202.0,4.5,5.25,99.0963,7037.5,,
2006-12-01,203.1,4.4,5.24,100.1125,7080.4,,
2007-01-01,203.437,4.6,5.25,99.7546,7118.5,16611.69,16413.08416
2007-02-01,204.226,4.5,5.26,100.7166,7134.6,,
2007-03-01,205.288,4.4,5.26,100.8952,7168.5,,
2007-04-01,205.904,4.5,5.25,101.5723,7241.0,16713.314,16492.813130000002
2007-05-01,206.755,4.4,5.25,101.6269,7254.9,,
2007-06-01,207.234,4.6,5.25,101.6547,7288.1,,
2007-07-01,207.603,4.7,5.26,101.4953,7319.0,16809.587,16575.36122
2007-08-01,207.667,4.6,5.02,101.6943,7395.1,,
2007-09-01,208.547,4.7,4.94,101.9428,7413.3,,
2007-10-01,209.19,4.7,4.76,101.6446,7428.4,16915.191,16658.2616
2007-11-01,210.834,4.7,4.49,102.2167,7453.8,,
2007-12-01,211.445,5.0,4.24,102.2764,7484.2,,
2008-01-01,212.174,5.0,3.94,102.1493,7517.8,16843.003,16741.83551
2008-02-01,212.687,4.9,2.98,101.7756,7604.2,,
2008-03-01,213.448,5.1,2.61,101.4508,7670.3,,
2008-04-01,213.942,5.0,2.28,100.7554,7712.8,16943.291,16824.00846
2008-05-01,215.208,5.4,1.98,100.1336,7725.5,,
2008-06-01,217.463,5.6,2.0,99.8728,7744.2,,
2008-07-01,219.016,5.8,2.01,99.4194,7791.5,16854.295,16903.75132
2008-08-01,218.69,6.1,2.0,97.8491,7806.1,,
2008-09-01,218.877,6.1,1.81,93.5576,7872.7,,
2008-10-01,216.995,6.5,0.97,94.4985,7975.3,16485.35,16979.72738
2008-11-01,213.153,6.8,0.39,93.2617,8027.3,,
2008-12-01,211.398,7.3,0.16,90.6266,8205.0,,
2009-01-01,211.933,7.8,0.15,88.3712,8289.4,16298.262,17050.23362
2009-02-01,212.705,8.3,0.22,87.843,8319.6,,
2009-03-01,212.495,8.7,0.18,86.4689,8386.7,,
2009-04-01,212.709,9.0,0.15,85.7903,8391.4,16269.145,17116.47772
2009-05-01,213.022,9.4,0.18,84.9436,8449.5,,
2009-06-01,214.79,9.5,0.21,84.6746,8459.5,,
2009-07-01,214.726,9.5,0.16,85.6853,8463.8,16326.281,17178.970269999998
2009-08-01,215.445,9.6,0.16,86.6393,8463.3,,
2009-09-01,215.861,9.8,0.15,87.3821,8461.8,,
2009-10-01,216.509,10.0,0.12,87.5809,8488.1,16502.754,17239.53132
2009-11-01,217.234,9.9,0.12,87.9388,8517.3,,
2009-12-01,217.347,9.9,0.12,88.2404,8512.5,,
2010-01-01,217.488,9.8,0.11,89.1897,8478.0,16582.71,17300.29215
2010-02-01,217.281,9.8,0.13,89.5046,8527.6,,
2010-03-01,217.353,9.9,0.16,90.1356,8523.7,,
2010-04-01,217.403,9.9,0.2,90.4607,8555.1,16743.162,17362.17218
2010-05-01,217.29,9.6,0.2,91.7014,8609.3,,
2010-06-01,217.199,9.4,0.18,91.9033,8628.4,,
2010-07-01,217.605,9.4,0.18,92.2549,8639.8,16872.266,17426.505869999997
2010-08-01,217.923,9.5,0.19,92.5936,8688.2,,
2010-09-01,218.275,9.5,0.19,92.8533,8718.9,,
2010-10-01,219.035,9.4,0.19,92.6033,8768.7,16960.864,17492.53719
2010-11-01,219.59,9.8,0.19,92.6686,8789.3,,
2010-12-01,220.472,9.3,0.18,93.5916,8822.9,,
2011-01-01,221.187,9.1,0.17,93.3889,8845.2,16920.632,17560.4955
2011-02-01,221.898,9.0,0.16,93.0045,8909.0,,
2011-03-01,223.046,9.0,0.14,93.9684,8967.0,,
2011-04-01,224.093,9.1,0.1,93.6571,9030.4,17035.114,17630.45708
2011-05-01,224.806,9.0,0.09,93.7723,9102.7,,
2011-06-01,224.806,9.1,0.09,94.0493,9176.7,,
2011-07-01,225.395,9.0,0.07,94.4958,9338.7,17031.313,17702.57186
2011-08-01,226.106,9.0,0.1,95.0974,9525.1,,
2011-09-01,226.597,9.0,0.08,95.0244,9545.3,,
2011-10-01,226.75,8.8,0.07,95.6891,9578.1,17222.583,17776.28839
2011-11-01,227.169,8.6,0.08,95.6778,9629.8,,
2011-12-01,227.223,8.5,0.07,96.1809,9677.4,,
2012-01-01,227.842,8.3,0.08,96.7595,9750.5,17367.01,17851.548590000002
2012-02-01,228.329,8.3,0.1,97.0662,9802.2,,
2012-03-01,228.807,8.2,0.13,96.5609,9846.2,,
2012-04-01,229.187,8.2,0.14,97.251,9899.8,17444.525,17928.8843
2012-05-01,228.713,8.2,0.16,97.4595,9943.0,,
2012-06-01,228.524,8.2,0.16,97.4768,10013.0,,
